  0|  7|  x|  x|  9|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  7|  x|  x|  x|  9|  x|  x|  x|  x|  x|  5|  1|  x|  x|  3|  x|  x| 10|  x|  x|  x|  5|  x|  4|  x|  x|  2|  x|  x|  x|  x|  2|  x|  x|  x|  3|  x|  x|  x|  4|  x|  x|  x|  x|  x|  5|  x|  x|  2|  6|  x|  x|  x|  x|  8|  9|  x|  x|  x| 10|  x|  6|  x|  5|  x|  x|  x|  x|  2|  3|  2|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  8|  x|  x|  x|  x|  x|  9| 10|  x|  x|  x|  3|  x|  x|  x|  x|  8|  4|  x|  7| 10|  x|  7|  x|  6|  x|  x|  2|  x|  x|  x|  6|  x|  x|  x|  5|  4|  x|  3|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  6|  5|  x|  x|  x|  x|  x|  x|  x|  1|  x|  3|  x|  x|  x|  x|  x|  x|  7|  6|  x|  x|  x|  x|  3|  x|  5|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  x|
  x|  7| 10|  x|  8|  x|  x|  x|  x|  5|  x|  6|  x|  5|  x|  x|  x|  x|  x|  x|  x|  4|  0|  9|  x|  8|  x|  x|  8|  x|  x|  7|  7|  8|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  x|  1|  x|  6|  x|  7|  x|  2|  5|  x|  x|  x|  x|  x|  7|  x|  x|  x|  1|  x|  x|  x|  x|  x|  9|  x|  x|  2|  x|  x|  x|  x|  x|  6|  x|  9|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  x|  x|  x|  9|  x|  x|  x|  9|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  8|  5|  2|  6|  x|  x|  x|  x|  x|  x|  x|  7|  2|  x|  x|  x|  x|  3|  x|  1|  9|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  1|  4|  4|  x|  x|  x|  x|  x|  x|  6|  x|  4|  x|  8|  x|  9|  x|  x|  x|  8|  7|  5|  x|  7|  2|  x|  4|  8|  5|  2|  x|  x|  x|  x|
  x|  2|  x|  8|  3|  x|  2|  x|  2|  x|  x|  4|  x|  x|  5|  x|  x|  x|  x|  x|  x|  x|  9|  0|  x|  x|  x|  x|  x|  x|  x|  x|  x|  6|  x|  2|  x|  6|  x|  x|  8|  x|  4|  x|  x|  9|  3|  6|  7|  x|  x|  6|  x|  x|  x|  x|  x| 10|  7|  x|  5|  6|  x|  x|  x|  4|  x|  x| 10|  x|  x|  x|  x|  2|  9|  7|  1|  6|  5|  4|  x|  x|  5| 10|  x|  x|  x|  3|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  4|  x|  7|  x|  4|  x|  8|  5|  x|  x|  x|  x|  x|  7|  x|  x|  x|  4|  9|  1|  6|  x|  x|  x|  x|  3|  8|  x|  1|  2|  3|  3|  x|  x|  x|  2|  3| 10|  x|  x|  9|  x|  4|  x|  x|  x|  x|  x|  6|  x|  x|  4|  x|  x|  8|  x|  x|  3|  x|  x|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  8|  7|  3|  x|  x|  x|  x|  x|  x|  6|  7|  x|  x|  7|  x|  x|  x|  x|  x|  x|  3|  3|  x|  x|
  9|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  2|  x|  3|  9|  9|  1|  x|  6|  6|  5|  x|  x|  x|  0|  x|  x|  x| 10|  x|  x|  x|  9|  x|  6|  x|  5|  7|  x|  x|  x|  x|  x|  4|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  8|  x|  x|  x|  x|  4|  x|  4|  x|  x|  x|  x|  4|  x|  9|  x|  x|  x|  6|  9|  7|  x|  x|  x|  x|  x|  4| 10|  x|  x|  x|  x|  7|  8|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  x|  1|  5|  4|  5|  4|  x|  x|  3|  x|  x|  x|  x|  3| 10|  x|  x|  x|  9|  x|  9|  x|  x|  x|  2|  3|  x|  x|  7|  x|  5|  x|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  x|  x|  x|  5|  x|  8|  7|  x|  x|  5|  x|  x| 10|  x|  x|  x|  x|  8|  x| 10|  x|  x|  x|  4|  x| 10|  x| 10|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  x|  2|
  x|  x|  x|  x|  x|  x|  4|  4|  x|  1|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  0|  x|  6|  4|  x|  3|  x|  2|  x|  x|  x|  4|  x|  2|  4|  x|  1|  x|  x|  x|  x| 10|  x|  x|  1|  x|  6|  x|  x|  1|  x|  x|  7|  6|  x|  7|  x|  x|  x|  x|  4|  x|  x|  3|  7|  x|  x|  x|  9|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  9|  x|  x|  x|  4|  x|  4|  6|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  5|  x|  6|  x|  7|  x|  7|  x|  x|  x|  7|  x|  x| 10|  9|  x|  x|  9|  x|  x|  x|  x|  x|  x|  x|  x|  3|  6|  x|  x|  7|  7|  x|  x|  x|  x|  4|  x|  x| 10|  x|  x|  x|  x|  x|  x|  x|  9|  5|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  6|  8|  x|  7|  x|  x| 10|  x|  x|  x|  x|  x|  x|
  x|  7|  x|  x|  x|  5|  x|  7|  x|  x| 10|  x|  x|  x|  x|  x|  6|  x|  x|  6|  x|  1|  x|  x|  x|  x|  0|  3|  x|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  2|  x|  x|  x|  5|  x|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x| 10|  x|  x|  x|  x|  5| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  x|  4|  x|  x|  x| 10|  x|  x|  x|  x| 10|  x|  x|  x|  x|  x|  x|  x|  2|  x|  x|  x|  5|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  x|  x|  x|  6|  2|  x|  2|  x|  x|  1|  x|  7|  x|  6|  x|  5|  3|  x|  x|  6|  x|  x|  x|  x|  6|  1|  9|  x|  x|  3|  x|  x|  x|  4|  x|  x|  3|  x|  x|  5|  6|  8|  x|  x|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  9|  8|  7|  x|  7|  1|  x|  x|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  x|
  x|  8|  x|  x|  5|  x|  x|  x|  x|  6| 10|  x|  5|  x|  x|  x|  x|  x|  1|  x|  1|  7|  x|  x|  x|  6|  3|  0|  1|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  6|  x|  x|  x|  6|  7|  x|  x|  x|  7|  4|  x|  x|  x|  x|  x|  1|  x|  x|  4| 10|  x|  1|  x|  x|  1|  x|  x|  x|  x|  x|  2|  x| 10|  x|  3|  x|  x|  x|  x|  x| 10|  x|  x|  x|  8|  x| 10|  7|  x|  x|  3|  x|  x|  x|  2|  8|  x|  5|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  9|  x|  x|  x|  x|  x| 10|  x|  3|  x|  x|  8|  x|  5|  x|  x|  x|  x|  x|  x|  x|  x|  4| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  4|  4|  x|  x|  x|  3|  x|  9|  3|  x|  x|  3|  8|  x|  5|  x|  x|  3|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  7|  x|  6|  x|  x|  x|  x|  4|  x|
  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  8|  x| 10|  4|  x|  1|  0|  x|  9|  x|  x|  x|  x|  x|  x|  x|  2|  x|  x|  9|  x|  x|  x|  x|  3|  x|  x|  x|  x|  x|  6|  x|  x|  x|  4|  x|  x|  x| 10|  x|  x|  2|  x|  x|  1|  x|  x|  5|  x|  x|  x|  5|  x|  x|  x|  4|  4|  6|  x|  6|  4|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  4|  x|  4|  2|  x|  x|  x|  x|  x|  x|  x|  x|  6|  x|  6|  8|  9|  3|  x|  x|  x|  x|  x|  x| 10|  3|  x|  x|  x|  9|  x|  x| 10|  x|  x|  x|  x|  x|  5|  x|  x|  6|  2| 10|  x|  x| 10|  2|  x|  x|  x|  x| 10|  x|  x|  x|  1|  x|  6|  x|  x|  x|  x|  x| 10|  x|  x|  x|  8|  x|  x|  x|  4|  x|  x|  6|  x|  7|  6|  x|  x|  x|  8|  x|  x|  x|  5|  x|  x|  x|
  x|  x|  5|  x|  x|  x|  2| 10|  x| 10|  5|  x|  5|  3|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  0|  9|  x|  x|  8|  x| 10|  x|  x|  5|  x|  x|  x|  x|  x|  5|  x|  6|  x|  x|  x|  x|  5|  x|  7|  x|  5|  x|  x|  6|  x|  x|  9|  8|  x|  3| 10|  x|  1|  3|  x|  9|  x|  4|  6|  8|  x|  4|  x|  x|  x|  x| 10|  x|  x|  2|  x|  1|  x|  x|  1|  6|  x|  x|  x|  2|  x|  4|  x|  x|  x|  x|  6|  3|  4|  7|  6|  x|  x|  9|  x|  6|  x|  x|  x|  x|  x| 10|  x|  x|  x|  x|  1|  3|  x|  x|  6|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  4|  x|  x|  x|  x|  x|  5|  x|  7|  9|  x|  x|  2|  x|  3| 10|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  9|  3|  x|  x|  x|  x|  x|  x|  x|  2|  3|  x|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x| 10|  6|  x|  x|  x|
  5|  x|  x|  x|  9|  x|  2| 10|  x|  x|  x|  2|  x|  x|  9|  x|  x|  5|  x|  5|  x|  x|  x|  x|  x|  3|  x|  x|  9|  9|  0|  1|  x|  x| 10|  5|  4|  x|  x|  9|  8|  1|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  x| 10|  2| 10|  5| 10|  x|  x|  x|  x|  2|  1|  x|  3|  x|  9|  6|  x|  6|  x|  x|  x|  8|  x|  7|  9|  7|  2|  5|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  8|  8|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  8|  3|  x|  x|  x|  3|  2|  x|  x|  1|  x|  x|  x|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  2|  x|  x|  x|  7|  x|  x|  1|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  x|  x|  5|  x|  x|  x|  x|  x|  x|  5|  1|  2|  x|  7|  x|  x|  x|  6|  x|  x|  x|  x|  2|  x|  x|  1|  3|  4|  x|  x|  x|  3|  x|  x|  x|
  1|  5|  x|  x|  x|  x|  x|  x|  9|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  1|  0|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  5|  x|  x|  x|  x|  x|  3|  x|  4|  6|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  7|  5|  x|  7|  5|  3|  2|  x|  x|  9|  x|  x|  x|  x|  9|  x|  x|  3|  x|  x|  x|  3|  6|  x|  x|  8|  x|  x|  4|  x|  6|  2|  x|  x|  6|  x|  x|  x|  x|  x|  2|  2|  x|  x|  x|  x|  x|  5|  5| 10|  2|  x|  x|  5|  x|  x|  2|  x|  x|  x|  8|  x| 10|  x|  x|  9|  1|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  x|  9|  7|  x|  4|  x|  x|  6|  4|  x|  x|  x|  x|  7|  8|  x| 10|  x|  x|  7|  x| 10|  x|  8|  x|  x|  x|  4|  x|  x|  x|  x|  x| 10|  x|  x|  x|  x|  x|  x|  4|  9|  x|  3|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|
  x|  x|  x|  x|  6|  x|  5|  x|  x|  x|  7|  2|  1|  2|  x|  8|  x|  x|  x|  x|  6|  x|  7|  x|  9|  2|  x|  x|  x|  x|  x|  x|  0|  x|  x|  8|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  9|  x|  4|  x|  4|  x|  x|  x|  x|  x|  x|  x|  7|  x|  1|  x|  4|  x|  x|  3|  x|  x|  5|  x|  3|  4|  3|  2|  3|  x|  x|  x|  2|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  2|  x|  x|  x|  x|  x|  x|  6|  x|  5|  6|  x|  x|  x|  x|  x|  x|  x|  1|  5|  x| 10|  x|  1|  x|  x|  x|  x|  5| 10|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  7|  x|  x|  x|  6|  x|  x|  x|  x|  x|  2|  8| 10|  x|  1|  5|  x|  5|  4|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  5|  x|  x|  1|  x|  x|  x|  x|  5|  x|  x|  4|  2|  x|  3|  x|  x|
  x|  1|  x|  x|  x|  x|  x|  x|  x|  8|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  8|  6|  x|  x|  1|  8|  x|  8|  x|  x|  x|  0|  x|  2|  x|  x|  x|  x|  x|  5|  4|  5|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  3|  9|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x| 10|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  8|  x|  x|  x|  x|  x|  x|  x|  5|  x|  4|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  7|  6|  x|  x|  x|  x| 10|  x|  x|  x|  x|  4|  9|  x|  x|  x|  x|  5|  x|  9|  x|  x|  2|  x|  5|  x|  9| 10|  x|  x|  x|  5|  2|  x|  x|  1|  x|  x|  x|  x|  x|  7|  x|  6|  x|  x|  x|  x|  x|  9|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  5|  x|  x|  2|  x|  x| 10|  x|  x|  5|  x|  x|  x|  x|  6|  x|  4|
  3|  x|  x|  2|  1|  5|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x| 10|  x|  x|  x|  x|  x|  6|  x|  6|  x|  x|  x|  x|  x| 10|  x|  x|  x|  0|  x|  x|  9|  1|  x|  x|  x|  x|  x|  x|  7|  x| 10|  x|  x|  6|  7|  x|  x|  8|  x|  4|  5|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  9|  x|  x|  x|  x|  8|  x|  x|  2|  x|  9|  x|  x|  x|  2|  x|  x| 10| 10|  x|  8|  4|  6|  4|  x|  5|  x|  x|  x|  1|  4| 10|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  1|  x|  x|  4|  x|  4|  x|  x|  x|  x|  2|  x|  x|  x|  x|  4|  x|  x|  x|  x| 10|  x|  x|  8|  9|  6|  x|  7|  1|  x|  7|  x|  3|  x|  x|  6|  x|  x|  8|  x|  x|  x|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  5|  4|  x|  x|  x|  8|  x|  x|  x|  x|  1|
  x|  x|  1|  x|  x|  x| 10|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  2|  x|  x|  x|  x|  x| 10|  5|  x|  8|  2|  x|  0|  9|  3|  4|  5|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  3|  3|  x|  x|  x|  x|  6|  x|  9|  x|  x|  x|  x| 10|  x|  x|  x|  x|  x|  8|  8|  1|  x|  x|  x|  x|  x|  x|  x|  2|  x|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  8|  x|  6| 10|  x|  x|  x|  7|  x|  x|  x|  8|  x|  x|  2|  x|  x|  x|  x|  x|  9|  x| 10|  x|  x|  x|  3|  x|  8|  4|  7|  7|  x|  x|  6|  8|  5|  x|  x|  x|  x|  x|  x|  2|  x|  x|  2|  x|  1|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  x|  x|  5|  x|  8|  x|  x|  x|  3|  8|  x|  x|  2|  6|  x|  x| 10|  x|  8|  x|  x|  x|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  4|  5|  4|  x|  1|  1|
  x|  1|  x|  x|  x|  2|  4|  x|  6|  5|  x|  6|  9|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  x|  5|  4|  x|  x|  x|  x|  4|  x|  x|  x|  x|  9|  0|  x|  x|  x| 10|  x|  x|  x|  1|  9|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  9|  x|  8|  x|  x|  x|  5|  x|  x|  5|  7|  x|  x| 10|  4|  5|  5|  x|  x|  x|  6|  x|  x|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  4|  x|  8|  x|  x|  x|  x|  x|  x|  x|  9|  1|  x|  x|  x|  x|  x|  5|  x|  6|  9|  x|  x|  x|  x|  2|  x|  x|  x|  x|  1|  8|  x|  x|  4|  6|  x| 10|  x|  7|  3|  x|  x|  x|  x|  8|  x|  x|  x|  x|  5|  x|  1|  x|  x|  8|  5|  2|  x|  x|  3|  x|  3|  x|  8|  9|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  3|  x|  6|  4|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  1|  5|  2|  x|  x|  x|  7|  x|  x|  9|  7| 10|  4|  1|  4|  x|  x|  2|
 10|  x|  5|  x|  x|  x|  2|  x|  x|  x|  7|  5| 10|  x|  x|  x|  x|  x|  4|  x|  x|  x|  x|  6|  7|  x|  x|  x|  x|  x|  x|  x| 10|  x|  9|  3|  x|  0|  x|  x|  8|  x|  1|  x|  x|  6|  6|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  x|  x|  5|  6|  x|  x|  5|  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  2|  8|  x|  x|  x|  x|  x|  x|  5|  1|  x|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  4|  x|  x|  x|  x|  x| 10|  9|  6|  5|  x|  x|  x|  6|  x|  7|  7|  x|  8|  x|  8|  5|  1|  x|  x|  x|  x|  4|  x|  5|  x|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  1|  x|  x|  7|  x|  x|  x|  3|  x|
  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  2|  3|  4|  x|  3|  x|  3|  x|  6|  3|  3|  4|  x|  x|  x|  2|  x|  x|  2|  5|  x|  x|  x|  x|  1|  4|  x|  x|  0|  9|  x|  9|  7| 10|  9|  1|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  x| 10|  x|  x|  x|  6|  x|  7|  x|  x|  x|  1|  x|  x|  x|  x|  9|  x|  2|  x|  x|  8|  x|  7|  x|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  x|  8|  x|  6|  x|  x|  x|  x|  1|  x|  6|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  1|  x|  2|  x|  x|  x|  x|  x|  x| 10|  x|  x|  9|  x|  1|  x|  x|  x|  x|  9|  2|  x|  x|  3|  x|  x|  5|  x|  5|  x|  x|  2|  2|  3|  x|  x|  5|  8|  x|  x|  x|  x|  1|  8|  3|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  6|  5|  x|  x|  2|  8|  x|  x|  7|  x|  x|
  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  x|  2|  x|  2|  x|  x|  6|  9|  x|  x|  x|  x|  x|  4|  x|  6|  x|  x|  9|  x|  x|  x|  x|  5|  x|  x|  9|  0|  x|  x|  x|  8|  x|  x|  x|  1|  x|  x|  5|  7|  4|  4|  x|  x|  x|  x|  x|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  7|  6|  x|  x|  x|  6|  2|  x|  x|  x|  x|  x|  3|  x|  x|  5|  x|  x|  2|  x|  x|  x|  x|  x|  x|  9|  x|  2|  x|  x|  5|  x|  x|  6|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  9|  x|  x|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  2|  x|  x|  x| 10|  2|  x|  4|  1|  x|  x|  x|  5|  x|  x|  x|  x|  x|  7|  x|  x|  x|  8|  x|  4|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  6|
  x|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  x| 10|  2|  x|  x|  x|  x|  4|  x|  1|  x|  x|  8|  x|  x|  x|  x|  x|  x|  8|  8|  x|  x|  x|  x| 10|  8|  x|  x|  0|  8|  x|  7|  2|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  4|  x|  5|  x|  x|  x|  x|  x|  x| 10|  1|  x|  x|  x|  x|  x|  x|  2|  9|  x|  x|  9|  7|  x|  7|  4|  2|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  x|  7|  x|  5|  x|  x|  x|  6|  x|  x|  1|  1|  7|  1|  x|  x|  9|  x| 10|  1|  x|  x| 10|  x|  x|  6|  x|  x|  4|  9|  x|  x|  x|  x|  x|  5|  x|  x|  x|  7|  5|  8|  2|  x|  5|  5|  x|  4|  x|  x|  2|  7|  x|  x|  x|  x|  x|  x|  x|  4|  8|  2|  x|  4|  7|  x|  x|  x|  x|  x|
  5|  x|  x|  x|  9|  x|  x|  x|  x|  2| 10|  4|  x|  x|  8|  x|  x|  x|  x|  x|  2|  8|  x|  x|  x|  1|  x|  x|  9|  x|  1|  x|  x|  5|  x|  x|  x|  x|  9|  x|  8|  0|  5|  x|  x|  x|  x|  x|  1|  5|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x| 10|  x|  x|  x|  7|  x|  x|  x|  x| 10|  x|  x|  x|  x|  x|  7|  x|  x|  x|  7|  7|  x|  x|  x| 10|  x|  x|  5|  x|  x|  8|  x|  x|  x|  x|  4|  7|  x|  8|  x|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  7|  x|  x|  7|  3|  x|  x|  7|  x|  8|  3|  6|  x|  x|  x|  x|  5|  x|  x|  2| 10|  x|  x| 10|  x|  x|  x|  x|  x|  3|  x|  4|  x|  x|  2|  9|  x|  7|  x|  x|  x|  x|  x|  x|  x|  9|  x|  2|  x|  x|  x|  x|  x|  x|  8|  x|  8|  x|  x|  4|  x|  x|  x|  x|  x|  x|  x|  x|  6|  x|  x| 10| 10|  8|  2|  x|  x|
  x|  x|  2|  x| 10|  3|  x|  x|  x|  x|  x|  x|  8|  x|  x|  1|  x|  x|  6|  3|  7|  x|  x|  4|  x|  x|  8|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  1|  7|  x|  x|  5|  0|  9|  x|  8|  1|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  x|  x|  x|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  9|  x|  x|  7|  6|  x|  x|  x|  x|  x|  x|  x|  x|  8|  x|  6|  x|  x|  x| 10|  x|  3|  x|  x|  x|  8|  x|  x|  x|  x|  5|  x|  x|  x|  1|  x|  x|  x|  x|  5|  x|  1|  x|  x|  x|  2|  x|  x|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  7|  5|  7|  x|  7|  x|  x|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x|  3|  x|  x|  3|  x|  x|  x|  x|  x|  x|  x|  7|  4|  x|  x|  x|  x|  x|  6|  x|  x|  x|  4|  6|  x|  2|  x|  x|  x|  x|  x|  x|  7|  9|  9|
  4|  x|  x|  x|  4|  6|  3|  5|  4|  x|  x|  x|  x|  9| 10|  7|  x|  9|  x|  x|  3|  x|  x|  x|  4|  x|  x|  6|  x|  x|  x|  x|  x|  5|  x|  x|  x|  x| 10|  8|  7|  x|  9|  0|  x|  1|  x|  x|  x|  7| 10|  x|  x| 10|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  4|  x|  x|  x|  4|  x|  x|  x|  x| 10|  3|  x|  x|  x|  x|  x|  x|  9|  x|  x|  7|  x|  x|  9|  x|  x|  x|  x|  x|  x|  1|  x|  x|  x|  x|  x|  6|  x|  x|  7|  1|  x|  x|  x|  3|  9|  x|  7|  x|  x|  6|  6| 10|  x|  x|  9|  x|  2|  x|  x|  3|  x| 10|  4|  7|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  1| 10|  7|  x|  x|  x|  x|  7|  x|  x| 10|  x|  x|  x| 10|  x|  x|  1|  3|  x|  x|  x|  8|  9|  x|  6|  x|  x|  6|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  x|  6|  7|  x|  x|  x|  x|  x|  8|  x|  x|  x|  x|  x|  x|  x|  x|  x|
